"תחנה","תאריך ושעה (שעון קיץ)","קרינה גלובלית (וואט/מ""ר)"
"בית דגן קרינה","15/05/2023 01:00","0"
"בית דגן קרינה","15/05/2023 01:10","0"
"בית דגן קרינה","15/05/2023 01:20","0"
"בית דגן קרינה","15/05/2023 01:30","0"
"בית דגן קרינה","15/05/2023 01:40","0"
"בית דגן קרינה","15/05/2023 01:50","0"
"בית דגן קרינה","15/05/2023 02:00","0"
"בית דגן קרינה","15/05/2023 02:10","0"
"בית דגן קרינה","15/05/2023 02:20","0"
"בית דגן קרינה","15/05/2023 02:30","0"
"בית דגן קרינה","15/05/2023 02:40","0"
"בית דגן קרינה","15/05/2023 02:50","0"
"בית דגן קרינה","15/05/2023 03:00","0"
"בית דגן קרינה","15/05/2023 03:10","0"
"בית דגן קרינה","15/05/2023 03:20","0"
"בית דגן קרינה","15/05/2023 03:30","0"
"בית דגן קרינה","15/05/2023 03:40","0"
"בית דגן קרינה","15/05/2023 03:50","0"
"בית דגן קרינה","15/05/2023 04:00","0"
"בית דגן קרינה","15/05/2023 04:10","0"
"בית דגן קרינה","15/05/2023 04:20","0"
"בית דגן קרינה","15/05/2023 04:30","0"
"בית דגן קרינה","15/05/2023 04:40","0"
"בית דגן קרינה","15/05/2023 04:50","0"
"בית דגן קרינה","15/05/2023 05:00","0"
"בית דגן קרינה","15/05/2023 05:10","0"
"בית דגן קרינה","15/05/2023 05:20","0"
"בית דגן קרינה","15/05/2023 05:30","0"
"בית דגן קרינה","15/05/2023 05:40","0"
"בית דגן קרינה","15/05/2023 05:50","0"
"בית דגן קרינה","15/05/2023 06:00","12"
"בית דגן קרינה","15/05/2023 06:10","22"
"בית דגן קרינה","15/05/2023 06:20","39"
"בית דגן קרינה","15/05/2023 06:30","55"
"בית דגן קרינה","15/05/2023 06:40","80"
"בית דגן קרינה","15/05/2023 06:50","94"
"בית דגן קרינה","15/05/2023 07:00","133"
"בית דגן קרינה","15/05/2023 07:10","194"
"בית דגן קרינה","15/05/2023 07:20","219"
"בית דגן קרינה","15/05/2023 07:30","233"
"בית דגן קרינה","15/05/2023 07:40","300"
"בית דגן קרינה","15/05/2023 07:50","352"
"בית דגן קרינה","15/05/2023 08:00","377"
"בית דגן קרינה","15/05/2023 08:10","373"
"בית דגן קרינה","15/05/2023 08:20","461"
"בית דגן קרינה","15/05/2023 08:30","490"
"בית דגן קרינה","15/05/2023 08:40","518"
"בית דגן קרינה","15/05/2023 08:50","549"
"בית דגן קרינה","15/05/2023 09:00","592"
"בית דגן קרינה","15/05/2023 09:10","630"
"בית דגן קרינה","15/05/2023 09:20","664"
"בית דגן קרינה","15/05/2023 09:30","689"
"בית דגן קרינה","15/05/2023 09:40","719"
"בית דגן קרינה","15/05/2023 09:50","748"
"בית דגן קרינה","15/05/2023 10:00","777"
"בית דגן קרינה","15/05/2023 10:10","795"
"בית דגן קרינה","15/05/2023 10:20","814"
"בית דגן קרינה","15/05/2023 10:30","839"
"בית דגן קרינה","15/05/2023 10:40","866"
"בית דגן קרינה","15/05/2023 10:50","889"
"בית דגן קרינה","15/05/2023 11:00","906"
"בית דגן קרינה","15/05/2023 11:10","918"
"בית דגן קרינה","15/05/2023 11:20","946"
"בית דגן קרינה","15/05/2023 11:30","952"
"בית דגן קרינה","15/05/2023 11:40","967"
"בית דגן קרינה","15/05/2023 11:50","981"
"בית דגן קרינה","15/05/2023 12:00","980"
"בית דגן קרינה","15/05/2023 12:10","988"
"בית דגן קרינה","15/05/2023 12:20","997"
"בית דגן קרינה","15/05/2023 12:30","1001"
"בית דגן קרינה","15/05/2023 12:40","1004"
"בית דגן קרינה","15/05/2023 12:50","1001"
"בית דגן קרינה","15/05/2023 13:00","997"
"בית דגן קרינה","15/05/2023 13:10","994"
"בית דגן קרינה","15/05/2023 13:20","992"
"בית דגן קרינה","15/05/2023 13:30","983"
"בית דגן קרינה","15/05/2023 13:40","973"
"בית דגן קרינה","15/05/2023 13:50","963"
"בית דגן קרינה","15/05/2023 14:00","952"
"בית דגן קרינה","15/05/2023 14:10","937"
"בית דגן קרינה","15/05/2023 14:20","921"
"בית דגן קרינה","15/05/2023 14:30","904"
"בית דגן קרינה","15/05/2023 14:40","889"
"בית דגן קרינה","15/05/2023 14:50","868"
"בית דגן קרינה","15/05/2023 15:00","845"
"בית דגן קרינה","15/05/2023 15:10","821"
"בית דגן קרינה","15/05/2023 15:20","793"
"בית דגן קרינה","15/05/2023 15:30","768"
"בית דגן קרינה","15/05/2023 15:40","740"
"בית דגן קרינה","15/05/2023 15:50","712"
"בית דגן קרינה","15/05/2023 16:00","684"
"בית דגן קרינה","15/05/2023 16:10","651"
"בית דגן קרינה","15/05/2023 16:20","619"
"בית דגן קרינה","15/05/2023 16:30","584"
"בית דגן קרינה","15/05/2023 16:40","550"
"בית דגן קרינה","15/05/2023 16:50","516"
"בית דגן קרינה","15/05/2023 17:00","482"
"בית דגן קרינה","15/05/2023 17:10","446"
"בית דגן קרינה","15/05/2023 17:20","409"
"בית דגן קרינה","15/05/2023 17:30","369"
"בית דגן קרינה","15/05/2023 17:40","330"
"בית דגן קרינה","15/05/2023 17:50","291"
"בית דגן קרינה","15/05/2023 18:00","254"
"בית דגן קרינה","15/05/2023 18:10","217"
"בית דגן קרינה","15/05/2023 18:20","185"
"בית דגן קרינה","15/05/2023 18:30","149"
"בית דגן קרינה","15/05/2023 18:40","116"
"בית דגן קרינה","15/05/2023 18:50","85"
"בית דגן קרינה","15/05/2023 19:00","52"
"בית דגן קרינה","15/05/2023 19:10","27"
"בית דגן קרינה","15/05/2023 19:20","14"
"בית דגן קרינה","15/05/2023 19:30","0"
"בית דגן קרינה","15/05/2023 19:40","0"
"בית דגן קרינה","15/05/2023 19:50","0"
"בית דגן קרינה","15/05/2023 20:00","0"
"בית דגן קרינה","15/05/2023 20:10","0"
"בית דגן קרינה","15/05/2023 20:20","0"
"בית דגן קרינה","15/05/2023 20:30","0"
"בית דגן קרינה","15/05/2023 20:40","0"
"בית דגן קרינה","15/05/2023 20:50","0"
"בית דגן קרינה","15/05/2023 21:00","0"
"בית דגן קרינה","15/05/2023 21:10","0"
"בית דגן קרינה","15/05/2023 21:20","0"
"בית דגן קרינה","15/05/2023 21:30","0"
"בית דגן קרינה","15/05/2023 21:40","0"
"בית דגן קרינה","15/05/2023 21:50","0"
"בית דגן קרינה","15/05/2023 22:00","0"
"בית דגן קרינה","15/05/2023 22:10","0"
"בית דגן קרינה","15/05/2023 22:20","0"
"בית דגן קרינה","15/05/2023 22:30","0"
"בית דגן קרינה","15/05/2023 22:40","0"
"בית דגן קרינה","15/05/2023 22:50","0"
"בית דגן קרינה","15/05/2023 23:00","0"
"בית דגן קרינה","15/05/2023 23:10","0"
"בית דגן קרינה","15/05/2023 23:20","0"
"בית דגן קרינה","15/05/2023 23:30","0"
"בית דגן קרינה","15/05/2023 23:40","0"
"בית דגן קרינה","15/05/2023 23:50","0"
"בית דגן קרינה","16/05/2023 00:00","0"
"בית דגן קרינה","16/05/2023 00:10","0"
"בית דגן קרינה","16/05/2023 00:20","0"
"בית דגן קרינה","16/05/2023 00:30","0"
"בית דגן קרינה","16/05/2023 00:40","0"
"בית דגן קרינה","16/05/2023 00:50","0"
"בית דגן קרינה","16/05/2023 01:00","0"
"בית דגן קרינה","16/05/2023 01:10","0"
"בית דגן קרינה","16/05/2023 01:20","0"
"בית דגן קרינה","16/05/2023 01:30","0"
"בית דגן קרינה","16/05/2023 01:40","0"
"בית דגן קרינה","16/05/2023 01:50","0"
"בית דגן קרינה","16/05/2023 02:00","0"
"בית דגן קרינה","16/05/2023 02:10","0"
"בית דגן קרינה","16/05/2023 02:20","0"
"בית דגן קרינה","16/05/2023 02:30","0"
"בית דגן קרינה","16/05/2023 02:40","0"
"בית דגן קרינה","16/05/2023 02:50","0"
"בית דגן קרינה","16/05/2023 03:00","0"
"בית דגן קרינה","16/05/2023 03:10","0"
"בית דגן קרינה","16/05/2023 03:20","0"
"בית דגן קרינה","16/05/2023 03:30","0"
"בית דגן קרינה","16/05/2023 03:40","0"
"בית דגן קרינה","16/05/2023 03:50","0"
"בית דגן קרינה","16/05/2023 04:00","0"
"בית דגן קרינה","16/05/2023 04:10","0"
"בית דגן קרינה","16/05/2023 04:20","0"
"בית דגן קרינה","16/05/2023 04:30","0"
"בית דגן קרינה","16/05/2023 04:40","0"
"בית דגן קרינה","16/05/2023 04:50","0"
"בית דגן קרינה","16/05/2023 05:00","0"
"בית דגן קרינה","16/05/2023 05:10","0"
"בית דגן קרינה","16/05/2023 05:20","0"
"בית דגן קרינה","16/05/2023 05:30","0"
"בית דגן קרינה","16/05/2023 05:40","0"
"בית דגן קרינה","16/05/2023 05:50","0"
"בית דגן קרינה","16/05/2023 06:00","8"
"בית דגן קרינה","16/05/2023 06:10","16"
"בית דגן קרינה","16/05/2023 06:20","26"
"בית דגן קרינה","16/05/2023 06:30","36"
"בית דגן קרינה","16/05/2023 06:40","48"
"בית דגן קרינה","16/05/2023 06:50","60"
"בית דגן קרינה","16/05/2023 07:00","73"
"בית דגן קרינה","16/05/2023 07:10","92"
"בית דגן קרינה","16/05/2023 07:20","113"
"בית דגן קרינה","16/05/2023 07:30","158"
"בית דגן קרינה","16/05/2023 07:40","167"
"בית דגן קרינה","16/05/2023 07:50","255"
"בית דגן קרינה","16/05/2023 08:00","381"
"בית דגן קרינה","16/05/2023 08:10","408"
"בית דגן קרינה","16/05/2023 08:20","446"
"בית דגן קרינה","16/05/2023 08:30","492"
"בית דגן קרינה","16/05/2023 08:40","524"
"בית דגן קרינה","16/05/2023 08:50","557"
"בית דגן קרינה","16/05/2023 09:00","591"
"בית דגן קרינה","16/05/2023 09:10","624"
"בית דגן קרינה","16/05/2023 09:20","657"
"בית דגן קרינה","16/05/2023 09:30","686"
"בית דגן קרינה","16/05/2023 09:40","719"
"בית דגן קרינה","16/05/2023 09:50","745"
"בית דגן קרינה","16/05/2023 10:00","769"
"בית דגן קרינה","16/05/2023 10:10","797"
"בית דגן קרינה","16/05/2023 10:20","817"
"בית דגן קרינה","16/05/2023 10:30","837"
"בית דגן קרינה","16/05/2023 10:40","864"
"בית דגן קרינה","16/05/2023 10:50","879"
"בית דגן קרינה","16/05/2023 11:00","882"
"בית דגן קרינה","16/05/2023 11:10","908"
"בית דגן קרינה","16/05/2023 11:20","937"
"בית דגן קרינה","16/05/2023 11:30","962"
"בית דגן קרינה","16/05/2023 11:40","959"
"בית דגן קרינה","16/05/2023 11:50","962"
"בית דגן קרינה","16/05/2023 12:00","783"
"בית דגן קרינה","16/05/2023 12:10","969"
"בית דגן קרינה","16/05/2023 12:20","812"
"בית דגן קרינה","16/05/2023 12:30","843"
"בית דגן קרינה","16/05/2023 12:40","979"
"בית דגן קרינה","16/05/2023 12:50","817"
"בית דגן קרינה","16/05/2023 13:00","1050"
"בית דגן קרינה","16/05/2023 13:10","1019"
"בית דגן קרינה","16/05/2023 13:20","988"
"בית דגן קרינה","16/05/2023 13:30","986"
"בית דגן קרינה","16/05/2023 13:40","978"
"בית דגן קרינה","16/05/2023 13:50","969"
"בית דגן קרינה","16/05/2023 14:00","956"
"בית דגן קרינה","16/05/2023 14:10","944"
"בית דגן קרינה","16/05/2023 14:20","925"
"בית דגן קרינה","16/05/2023 14:30","910"
"בית דגן קרינה","16/05/2023 14:40","892"
"בית דגן קרינה","16/05/2023 14:50","867"
"בית דגן קרינה","16/05/2023 15:00","858"
"בית דגן קרינה","16/05/2023 15:10","608"
"בית דגן קרינה","16/05/2023 15:20","634"
"בית דגן קרינה","16/05/2023 15:30","777"
"בית דגן קרינה","16/05/2023 15:40","761"
"בית דגן קרינה","16/05/2023 15:50","704"
"בית דגן קרינה","16/05/2023 16:00","657"
"בית דגן קרינה","16/05/2023 16:10","642"
"בית דגן קרינה","16/05/2023 16:20","624"
"בית דגן קרינה","16/05/2023 16:30","574"
"בית דגן קרינה","16/05/2023 16:40","464"
"בית דגן קרינה","16/05/2023 16:50","511"
"בית דגן קרינה","16/05/2023 17:00","478"
"בית דגן קרינה","16/05/2023 17:10","453"
"בית דגן קרינה","16/05/2023 17:20","394"
"בית דגן קרינה","16/05/2023 17:30","283"
"בית דגן קרינה","16/05/2023 17:40","197"
"בית דגן קרינה","16/05/2023 17:50","159"
"בית דגן קרינה","16/05/2023 18:00","150"
"בית דגן קרינה","16/05/2023 18:10","151"
"בית דגן קרינה","16/05/2023 18:20","121"
"בית דגן קרינה","16/05/2023 18:30","103"
"בית דגן קרינה","16/05/2023 18:40","118"
"בית דגן קרינה","16/05/2023 18:50","95"
"בית דגן קרינה","16/05/2023 19:00","50"
"בית דגן קרינה","16/05/2023 19:10","23"
"בית דגן קרינה","16/05/2023 19:20","11"
"בית דגן קרינה","16/05/2023 19:30","0"
"בית דגן קרינה","16/05/2023 19:40","0"
"בית דגן קרינה","16/05/2023 19:50","0"
"בית דגן קרינה","16/05/2023 20:00","0"
"בית דגן קרינה","16/05/2023 20:10","0"
"בית דגן קרינה","16/05/2023 20:20","0"
"בית דגן קרינה","16/05/2023 20:30","0"
"בית דגן קרינה","16/05/2023 20:40","0"
"בית דגן קרינה","16/05/2023 20:50","0"
"בית דגן קרינה","16/05/2023 21:00","0"
"בית דגן קרינה","16/05/2023 21:10","0"
"בית דגן קרינה","16/05/2023 21:20","0"
"בית דגן קרינה","16/05/2023 21:30","0"
"בית דגן קרינה","16/05/2023 21:40","0"
"בית דגן קרינה","16/05/2023 21:50","0"
"בית דגן קרינה","16/05/2023 22:00","0"
"בית דגן קרינה","16/05/2023 22:10","0"
"בית דגן קרינה","16/05/2023 22:20","0"
"בית דגן קרינה","16/05/2023 22:30","0"
"בית דגן קרינה","16/05/2023 22:40","0"
"בית דגן קרינה","16/05/2023 22:50","0"
"בית דגן קרינה","16/05/2023 23:00","0"
"בית דגן קרינה","16/05/2023 23:10","0"
"בית דגן קרינה","16/05/2023 23:20","0"
"בית דגן קרינה","16/05/2023 23:30","0"
"בית דגן קרינה","16/05/2023 23:40","0"
"בית דגן קרינה","16/05/2023 23:50","0"
"בית דגן קרינה","17/05/2023 00:00","0"
"בית דגן קרינה","17/05/2023 00:10","0"
"בית דגן קרינה","17/05/2023 00:20","0"
"בית דגן קרינה","17/05/2023 00:30","0"
"בית דגן קרינה","17/05/2023 00:40","0"
"בית דגן קרינה","17/05/2023 00:50","0"
"בית דגן קרינה","17/05/2023 01:00","0"
"בית דגן קרינה","17/05/2023 01:10","0"
"בית דגן קרינה","17/05/2023 01:20","0"
"בית דגן קרינה","17/05/2023 01:30","0"
"בית דגן קרינה","17/05/2023 01:40","0"
"בית דגן קרינה","17/05/2023 01:50","0"
"בית דגן קרינה","17/05/2023 02:00","0"
"בית דגן קרינה","17/05/2023 02:10","0"
"בית דגן קרינה","17/05/2023 02:20","0"
"בית דגן קרינה","17/05/2023 02:30","0"
"בית דגן קרינה","17/05/2023 02:40","0"
"בית דגן קרינה","17/05/2023 02:50","0"
"בית דגן קרינה","17/05/2023 03:00","0"
"בית דגן קרינה","17/05/2023 03:10","0"
"בית דגן קרינה","17/05/2023 03:20","0"
"בית דגן קרינה","17/05/2023 03:30","0"
"בית דגן קרינה","17/05/2023 03:40","0"
"בית דגן קרינה","17/05/2023 03:50","0"
"בית דגן קרינה","17/05/2023 04:00","0"
"בית דגן קרינה","17/05/2023 04:10","0"
"בית דגן קרינה","17/05/2023 04:20","0"
"בית דגן קרינה","17/05/2023 04:30","0"
"בית דגן קרינה","17/05/2023 04:40","0"
"בית דגן קרינה","17/05/2023 04:50","0"
"בית דגן קרינה","17/05/2023 05:00","0"
"בית דגן קרינה","17/05/2023 05:10","0"
"בית דגן קרינה","17/05/2023 05:20","0"
"בית דגן קרינה","17/05/2023 05:30","0"
"בית דגן קרינה","17/05/2023 05:40","0"
"בית דגן קרינה","17/05/2023 05:50","0"
"בית דגן קרינה","17/05/2023 06:00","11"
"בית דגן קרינה","17/05/2023 06:10","25"
"בית דגן קרינה","17/05/2023 06:20","39"
"בית דגן קרינה","17/05/2023 06:30","66"
"בית דגן קרינה","17/05/2023 06:40","95"
"בית דגן קרינה","17/05/2023 06:50","124"
"בית דגן קרינה","17/05/2023 07:00","155"
"בית דגן קרינה","17/05/2023 07:10","190"
"בית דגן קרינה","17/05/2023 07:20","220"
"בית דגן קרינה","17/05/2023 07:30","253"
"בית דגן קרינה","17/05/2023 07:40","303"
"בית דגן קרינה","17/05/2023 07:50","339"
"בית דגן קרינה","17/05/2023 08:00","374"
"בית דגן קרינה","17/05/2023 08:10","408"
"בית דגן קרינה","17/05/2023 08:20","445"
"בית דגן קרינה","17/05/2023 08:30","478"
"בית דגן קרינה","17/05/2023 08:40","511"
"בית דגן קרינה","17/05/2023 08:50","545"
"בית דגן קרינה","17/05/2023 09:00","583"
"בית דגן קרינה","17/05/2023 09:10","616"
"בית דגן קרינה","17/05/2023 09:20","648"
"בית דגן קרינה","17/05/2023 09:30","678"
"בית דגן קרינה","17/05/2023 09:40","710"
"בית דגן קרינה","17/05/2023 09:50","740"
"בית דגן קרינה","17/05/2023 10:00","766"
"בית דגן קרינה","17/05/2023 10:10","789"
"בית דגן קרינה","17/05/2023 10:20","813"
"בית דגן קרינה","17/05/2023 10:30","837"
"בית דגן קרינה","17/05/2023 10:40","856"
"בית דגן קרינה","17/05/2023 10:50","873"
"בית דגן קרינה","17/05/2023 11:00","889"
"בית דגן קרינה","17/05/2023 11:10","906"
"בית דגן קרינה","17/05/2023 11:20","922"
"בית דגן קרינה","17/05/2023 11:30","942"
"בית דגן קרינה","17/05/2023 11:40","959"
"בית דגן קרינה","17/05/2023 11:50","968"
"בית דגן קרינה","17/05/2023 12:00","974"
"בית דגן קרינה","17/05/2023 12:10","985"
"בית דגן קרינה","17/05/2023 12:20","984"
"בית דגן קרינה","17/05/2023 12:30","986"
"בית דגן קרינה","17/05/2023 12:40","989"
"בית דגן קרינה","17/05/2023 12:50","992"
"בית דגן קרינה","17/05/2023 13:00","977"
"בית דגן קרינה","17/05/2023 13:10","953"
"בית דגן קרינה","17/05/2023 13:20","946"
"בית דגן קרינה","17/05/2023 13:30","943"
"בית דגן קרינה","17/05/2023 13:40","934"
"בית דגן קרינה","17/05/2023 13:50","922"
"בית דגן קרינה","17/05/2023 14:00","916"
"בית דגן קרינה","17/05/2023 14:10","900"
"בית דגן קרינה","17/05/2023 14:20","883"
"בית דגן קרינה","17/05/2023 14:30","868"
"בית דגן קרינה","17/05/2023 14:40","844"
"בית דגן קרינה","17/05/2023 14:50","822"
"בית דגן קרינה","17/05/2023 15:00","800"
"בית דגן קרינה","17/05/2023 15:10","777"
"בית דגן קרינה","17/05/2023 15:20","752"
"בית דגן קרינה","17/05/2023 15:30","731"
"בית דגן קרינה","17/05/2023 15:40","699"
"בית דגן קרינה","17/05/2023 15:50","668"
"בית דגן קרינה","17/05/2023 16:00","636"
"בית דגן קרינה","17/05/2023 16:10","605"
"בית דגן קרינה","17/05/2023 16:20","574"
"בית דגן קרינה","17/05/2023 16:30","536"
"בית דגן קרינה","17/05/2023 16:40","504"
"בית דגן קרינה","17/05/2023 16:50","468"
"בית דגן קרינה","17/05/2023 17:00","432"
"בית דגן קרינה","17/05/2023 17:10","395"
"בית דגן קרינה","17/05/2023 17:20","353"
"בית דגן קרינה","17/05/2023 17:30","316"
"בית דגן קרינה","17/05/2023 17:40","281"
"בית דגן קרינה","17/05/2023 17:50","245"
"בית דגן קרינה","17/05/2023 18:00","205"
"בית דגן קרינה","17/05/2023 18:10","174"
"בית דגן קרינה","17/05/2023 18:20","147"
"בית דגן קרינה","17/05/2023 18:30","117"
"בית דגן קרינה","17/05/2023 18:40","87"
"בית דגן קרינה","17/05/2023 18:50","64"
"בית דגן קרינה","17/05/2023 19:00","45"
"בית דגן קרינה","17/05/2023 19:10","29"
"בית דגן קרינה","17/05/2023 19:20","14"
"בית דגן קרינה","17/05/2023 19:30","0"
"בית דגן קרינה","17/05/2023 19:40","0"
"בית דגן קרינה","17/05/2023 19:50","0"
"בית דגן קרינה","17/05/2023 20:00","0"
"בית דגן קרינה","17/05/2023 20:10","0"
"בית דגן קרינה","17/05/2023 20:20","0"
"בית דגן קרינה","17/05/2023 20:30","0"
"בית דגן קרינה","17/05/2023 20:40","0"
"בית דגן קרינה","17/05/2023 20:50","0"
"בית דגן קרינה","17/05/2023 21:00","0"
"בית דגן קרינה","17/05/2023 21:10","0"
"בית דגן קרינה","17/05/2023 21:20","0"
"בית דגן קרינה","17/05/2023 21:30","0"
"בית דגן קרינה","17/05/2023 21:40","0"
"בית דגן קרינה","17/05/2023 21:50","0"
"בית דגן קרינה","17/05/2023 22:00","0"
"בית דגן קרינה","17/05/2023 22:10","0"
"בית דגן קרינה","17/05/2023 22:20","0"
"בית דגן קרינה","17/05/2023 22:30","0"
"בית דגן קרינה","17/05/2023 22:40","0"
"בית דגן קרינה","17/05/2023 22:50","0"
"בית דגן קרינה","17/05/2023 23:00","0"
"בית דגן קרינה","17/05/2023 23:10","0"
"בית דגן קרינה","17/05/2023 23:20","0"
"בית דגן קרינה","17/05/2023 23:30","0"
"בית דגן קרינה","17/05/2023 23:40","0"
"בית דגן קרינה","17/05/2023 23:50","0"
"בית דגן קרינה","18/05/2023 00:00","0"
"בית דגן קרינה","18/05/2023 00:10","0"
"בית דגן קרינה","18/05/2023 00:20","0"
"בית דגן קרינה","18/05/2023 00:30","0"
"בית דגן קרינה","18/05/2023 00:40","0"
"בית דגן קרינה","18/05/2023 00:50","0"
"בית דגן קרינה","18/05/2023 01:00","0"
"בית דגן קרינה","18/05/2023 01:10","0"
"בית דגן קרינה","18/05/2023 01:20","0"
"בית דגן קרינה","18/05/2023 01:30","0"
"בית דגן קרינה","18/05/2023 01:40","0"
"בית דגן קרינה","18/05/2023 01:50","0"
"בית דגן קרינה","18/05/2023 02:00","0"
"בית דגן קרינה","18/05/2023 02:10","0"
"בית דגן קרינה","18/05/2023 02:20","0"
"בית דגן קרינה","18/05/2023 02:30","0"
"בית דגן קרינה","18/05/2023 02:40","0"
"בית דגן קרינה","18/05/2023 02:50","0"
"בית דגן קרינה","18/05/2023 03:00","0"
"בית דגן קרינה","18/05/2023 03:10","0"
"בית דגן קרינה","18/05/2023 03:20","0"
"בית דגן קרינה","18/05/2023 03:30","0"
"בית דגן קרינה","18/05/2023 03:40","0"
"בית דגן קרינה","18/05/2023 03:50","0"
"בית דגן קרינה","18/05/2023 04:00","0"
"בית דגן קרינה","18/05/2023 04:10","0"
"בית דגן קרינה","18/05/2023 04:20","0"
"בית דגן קרינה","18/05/2023 04:30","0"
"בית דגן קרינה","18/05/2023 04:40","0"
"בית דגן קרינה","18/05/2023 04:50","0"
"בית דגן קרינה","18/05/2023 05:00","0"
"בית דגן קרינה","18/05/2023 05:10","0"
"בית דגן קרינה","18/05/2023 05:20","0"
"בית דגן קרינה","18/05/2023 05:30","0"
"בית דגן קרינה","18/05/2023 05:40","0"
"בית דגן קרינה","18/05/2023 05:50","0"
"בית דגן קרינה","18/05/2023 06:00","11"
"בית דגן קרינה","18/05/2023 06:10","25"
"בית דגן קרינה","18/05/2023 06:20","40"
"בית דגן קרינה","18/05/2023 06:30","50"
"בית דגן קרינה","18/05/2023 06:40","56"
"בית דגן קרינה","18/05/2023 06:50","69"
"בית דגן קרינה","18/05/2023 07:00","84"
"בית דגן קרינה","18/05/2023 07:10","85"
"בית דגן קרינה","18/05/2023 07:20","172"
"בית דגן קרינה","18/05/2023 07:30","107"
"בית דגן קרינה","18/05/2023 07:40","87"
"בית דגן קרינה","18/05/2023 07:50","208"
"בית דגן קרינה","18/05/2023 08:00","330"
"בית דגן קרינה","18/05/2023 08:10","319"
"בית דגן קרינה","18/05/2023 08:20","320"
"בית דגן קרינה","18/05/2023 08:30","459"
"בית דגן קרינה","18/05/2023 08:40","307"
"בית דגן קרינה","18/05/2023 08:50","548"
"בית דגן קרינה","18/05/2023 09:00","475"
"בית דגן קרינה","18/05/2023 09:10","702"
"בית דגן קרינה","18/05/2023 09:20","377"
"בית דגן קרינה","18/05/2023 09:30","634"
"בית דגן קרינה","18/05/2023 09:40","662"
"בית דגן קרינה","18/05/2023 09:50","575"
"בית דגן קרינה","18/05/2023 10:00","572"
"בית דגן קרינה","18/05/2023 10:10","683"
"בית דגן קרינה","18/05/2023 10:20","548"
"בית דגן קרינה","18/05/2023 10:30","638"
"בית דגן קרינה","18/05/2023 10:40","761"
"בית דגן קרינה","18/05/2023 10:50","893"
"בית דגן קרינה","18/05/2023 11:00","961"
"בית דגן קרינה","18/05/2023 11:10","622"
"בית דגן קרינה","18/05/2023 11:20","777"
"בית דגן קרינה","18/05/2023 11:30","763"
"בית דגן קרינה","18/05/2023 11:40","768"
"בית דגן קרינה","18/05/2023 11:50","936"
"בית דגן קרינה","18/05/2023 12:00","977"
"בית דגן קרינה","18/05/2023 12:10","830"
"בית דגן קרינה","18/05/2023 12:20","907"
"בית דגן קרינה","18/05/2023 12:30","942"
"בית דגן קרינה","18/05/2023 12:40","999"
"בית דגן קרינה","18/05/2023 12:50","946"
"בית דגן קרינה","18/05/2023 13:00","1174"
"בית דגן קרינה","18/05/2023 13:10","683"
"בית דגן קרינה","18/05/2023 13:20","762"
"בית דגן קרינה","18/05/2023 13:30","561"
"בית דגן קרינה","18/05/2023 13:40","563"
"בית דגן קרינה","18/05/2023 13:50","776"
"בית דגן קרינה","18/05/2023 14:00","753"
"בית דגן קרינה","18/05/2023 14:10","782"
"בית דגן קרינה","18/05/2023 14:20","802"
"בית דגן קרינה","18/05/2023 14:30","779"
"בית דגן קרינה","18/05/2023 14:40","775"
"בית דגן קרינה","18/05/2023 14:50","569"
"בית דגן קרינה","18/05/2023 15:00","814"
"בית דגן קרינה","18/05/2023 15:10","501"
"בית דגן קרינה","18/05/2023 15:20","475"
"בית דגן קרינה","18/05/2023 15:30","362"
"בית דגן קרינה","18/05/2023 15:40","414"
"בית דגן קרינה","18/05/2023 15:50","631"
"בית דגן קרינה","18/05/2023 16:00","294"
"בית דגן קרינה","18/05/2023 16:10","469"
"בית דגן קרינה","18/05/2023 16:20","269"
"בית דגן קרינה","18/05/2023 16:30","440"
"בית דגן קרינה","18/05/2023 16:40","250"
"בית דגן קרינה","18/05/2023 16:50","203"
"בית דגן קרינה","18/05/2023 17:00","293"
"בית דגן קרינה","18/05/2023 17:10","229"
"בית דגן קרינה","18/05/2023 17:20","201"
"בית דגן קרינה","18/05/2023 17:30","230"
"בית דגן קרינה","18/05/2023 17:40","339"
"בית דגן קרינה","18/05/2023 17:50","252"
"בית דגן קרינה","18/05/2023 18:00","294"
"בית דגן קרינה","18/05/2023 18:10","232"
"בית דגן קרינה","18/05/2023 18:20","156"
"בית דגן קרינה","18/05/2023 18:30","129"
"בית דגן קרינה","18/05/2023 18:40","77"
"בית דגן קרינה","18/05/2023 18:50","64"
"בית דגן קרינה","18/05/2023 19:00","64"
"בית דגן קרינה","18/05/2023 19:10","36"
"בית דגן קרינה","18/05/2023 19:20","18"
"בית דגן קרינה","18/05/2023 19:30","0"
"בית דגן קרינה","18/05/2023 19:40","0"
"בית דגן קרינה","18/05/2023 19:50","0"
"בית דגן קרינה","18/05/2023 20:00","0"
"בית דגן קרינה","18/05/2023 20:10","0"
"בית דגן קרינה","18/05/2023 20:20","0"
"בית דגן קרינה","18/05/2023 20:30","0"
"בית דגן קרינה","18/05/2023 20:40","0"
"בית דגן קרינה","18/05/2023 20:50","0"
"בית דגן קרינה","18/05/2023 21:00","0"
"בית דגן קרינה","18/05/2023 21:10","0"
"בית דגן קרינה","18/05/2023 21:20","0"
"בית דגן קרינה","18/05/2023 21:30","0"
"בית דגן קרינה","18/05/2023 21:40","0"
